evidence,observation,H0,H1,H2,H3,H4
E1: Bare environment,0/40 odd across GPT-OSS-20B and 120B,1,0,1,2,0
E2: Strategic framing,8/40 odd: GPT-OSS-120B 5/20; GPT-OSS-20B 3/20,1,2,0,0,1
E3: Non-strategic frame controls,"1/220 odd across baseline, no-reward, cost-control, obedience, broken-system, hierarchy-only-bare cells (single 20B baseline anomaly)",0,-1,0,1,0
"E4: Persona-only, GPT-OSS-120B",14/33 odd (42.4%); 2 explicit refusals,0,1,0,0,2
"E5: Persona-only, GPT-OSS-20B",3/20 odd; 4 explicit refusals,0,1,0,0,2
E6: User-as-developer control,0/40 odd across both models,0,-2,0,1,2
E7: Strategic refusal traces,Explicit refusals occurred under strategic framing,0,0,-1,0,2
E8: Hierarchy-only bare control,"0/40 odd: system-level authority present, no strategic persona",0,-1,0,0,1
E9: Deceptive-rigged positive control,"5/15 (33.3%, 120B) and 9/15 (60.0%, 20B) hacking when instructed to hack and conceal",0,0,0,0,0
TOTAL (heuristic compatibility score),,2,0,0,4,10
